FID IID igrowth
1341 NA06985 -1.21967098186914
1341 NA06993 1.19590489208601
1340 NA06994 0.180068848088005
1340 NA07000 -0.312156261307438
1340 NA07022 -0.859105435887397
1341 NA07055 -0.215984474986999
1340 NA07056 1.51390881990952
1345 NA07345 -0.100652049011902
1345 NA07357 1.38498181642185
1350 NA11829 -2.50511047266589
1350 NA11830 -0.735488071074059
1350 NA11831 0.69963335434066
1350 NA11832 1.18518615071869
1349 NA11839 -0.728691134222687
1349 NA11840 -0.428320747167453
1347 NA11881 -1.72238486556995
1362 NA11992 1.17555854320321
1362 NA11993 0.48881521394826
1362 NA11994 0.0374296965452796
1362 NA11995 1.09025557312598
1420 NA12003 -1.07171975094471
1420 NA12005 1.36326381220597
1420 NA12006 -0.309080790118644
1346 NA12043 1.47946254095469
1346 NA12044 0.356201321307146
1344 NA12057 -0.395915195176126
1334 NA12144 -0.365286852633106
1334 NA12145 0.933644750022563
1334 NA12146 0.892076059584604
1408 NA12154 -0.24287889259826
1408 NA12155 0.377444721773332
1375 NA12234 0.828797347105896
1334 NA12239 1.01841363948694
1416 NA12248 0.414724067062118
1416 NA12249 1.65003239570761
1444 NA12750 -0.26140756683707
1444 NA12751 -1.53430307688251
1447 NA12760 1.00655188234705
1447 NA12761 -0.620543460081617
1447 NA12762 0.579875931038784
1447 NA12763 -0.958344946704536
1454 NA12812 -0.452395238863762
1454 NA12814 0.773991146622627
1454 NA12815 -0.0661686938305551
1459 NA12872 0.33538932817275
1459 NA12873 -0.433856864447039
1459 NA12874 1.08369523864986
1459 NA12875 -0.917537893606062
1463 NA12891 -2.10820790508794
1463 NA12892 0.918722954992618
Y004 NA18501 1.09668822661318
Y005 NA18504 -0.0500169076529693
Y009 NA18507 0.224584411649524
Y013 NA18516 -0.00279474262799827
Y013 NA18517 -0.0877646717716389
Y018 NA18852 -1.57384411510285
Y018 NA18853 -0.842280880681893
Y023 NA18855 -0.81050946671724
Y012 NA18858 -0.0243789622621875
Y024 NA18861 0.786238331350994
Y024 NA18862 -1.65437985256954
Y017 NA18870 -1.06221221141828
Y028 NA18912 -1.14089072728588
Y028 NA18913 -0.924102408302459
Y040 NA19093 1.70683350000888
Y105 NA19098 1.06543600505222
Y042 NA19101 0.121551364943289
Y042 NA19102 1.03997597214226
Y060 NA19116 -0.353101066621674
Y060 NA19119 0.0842596940417462
Y077 NA19127 -1.54448467635005
Y077 NA19128 0.599156193164347
Y101 NA19130 0.936590712518872
Y101 NA19131 -0.946919336731262
Y043 NA19137 0.325814952869255
Y043 NA19138 -0.0883453530570718
Y071 NA19140 -0.175668916026618
Y071 NA19141 0.510196233554844
Y074 NA19143 0.17945269944427
Y074 NA19144 -1.75133155869618
Y072 NA19152 0.475397408705827
Y072 NA19153 0.440151232181759
Y056 NA19159 2.42201687736887
Y056 NA19160 -1.83455521595073
Y047 NA19171 0.207677830529469
Y047 NA19172 -1.06954811697884
Y112 NA19192 2.0774709968045
Y112 NA19193 -0.0195476488023779
Y045 NA19200 0.260141736692033
Y045 NA19201 0.0792969919573026
Y048 NA19203 -1.06567809802956
Y048 NA19204 -1.27562031879576
Y051 NA19206 -0.111891695815599
Y051 NA19207 -1.23716335742467
Y050 NA19209 0.14401415255586
Y050 NA19210 0.936359538103576
Y058 NA19222 -0.757455211017662
Y117 NA19238 -0.654755399096202
Y117 NA19239 0.601797383055129
